class_id,label,calories_per_100g,protein_per_100g,carb_per_100g,fat_per_100g,default_serving_grams,source
0,aloo-gobi,106.18,1.90,5.99,8.13,175.75,INDB ASC171 Potato cauliflower (Aloo gobhi)
1,aloo-fry,103.15,1.62,14.38,4.18,105.75,INDB ASC178 Dry potato (Sookhe aloo) (dry potato; closest to aloo-fry)
2,dum-aloo,89.56,1.52,10.42,4.47,201.57,INDB BFP239 Potato curry (Aloo ki sabzi) (potato curry; ASC214 dum aloo row discarded as 74g fat/100g)
3,fish-curry,111.13,8.76,3.77,6.69,253.97,INDB ASC246 Fish curry (Machli curry)
4,ghevar,,,,,,
5,green-chutney,79.42,5.42,10.01,1.60,24.40,INDB OSR098 Green chutney
6,gulab-jamun,586.06,2.03,26.09,53.23,156.72,INDB ASC348 Gulab Jamun with khoya
7,idli,137.54,4.64,28.18,0.33,25.06,INDB ASC144 Idli
8,jalebi,,,,,,
9,chicken-seekh-kebab,133.94,11.25,3.11,8.43,44.99,INDB BFP199 Mutton seekh kebab (no chicken seekh row; mutton seekh used)
10,kheer,75.03,2.30,10.05,2.97,400.00,INDB ASC282 Rice kheer (Chawal ki kheer)
11,kulfi,98.43,3.21,11.30,4.70,270.12,INDB ASC321 Kulfi
12,bhature,,,,,,
13,lassi,35.66,1.29,6.51,0.68,400.00,INDB ASC021 Sweet Lassi (Meethi lassi)
14,mutton-curry,115.64,7.09,2.53,8.54,366.47,INDB BFP194 Mutton korma
15,onion-pakoda,551.64,2.05,6.48,57.61,70.52,INDB BFP415 Masala onion pakora/pakoda (Pyaaz ke pakode)
16,palak-paneer,77.68,4.03,4.43,4.76,295.50,INDB ASC215 Spinach paneer (Palak paneer)
17,poha,294.53,6.09,35.05,14.14,54.59,INDB BFP044 Poha
18,rajma-curry,143.73,5.95,16.38,5.77,119.92,INDB ASC165 Kidney bean curry (Rajmah curry)
19,rasmalai,135.55,1.61,29.17,2.11,317.43,INDB BFP393 Rasmalai
20,samosa,443.11,2.21,13.22,42.22,100.93,INDB BFP431 Vegetable samosa
21,shahi-paneer,156.50,5.06,6.64,12.34,259.34,INDB ASC221 Shahi paneer
22,white-rice,117.19,2.60,25.72,0.18,300.00,INDB ASC113 Boiled rice (Uble chawal)
23,bhindi-masala,110.81,1.83,4.50,9.27,166.34,INDB BFP269 Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji)
24,chicken-biryani,108.24,6.07,11.17,8.48,400.00,INDB BFP142 Chicken pulao (chicken pulao; no chicken biryani row)
25,chai,16.14,0.39,2.58,0.53,210.50,INDB ASC001 Hot tea (Garam Chai)
26,chole,163.43,6.10,19.98,6.84,119.92,INDB ASC162 Chickpeas curry (Safed channa curry) (chickpeas curry; closest to chole)
27,coconut-chutney,265.92,3.59,8.29,25.00,25.33,INDB ASC386 Coconut chutney (Nariyal ki chutney)
28,dal-tadka,63.43,3.23,6.80,2.48,225.72,INDB BFP178 Green gram whole with baghar (Sabut moong dal with tadka)
29,dosa,380.91,10.34,64.08,8.43,36.13,INDB BFP148 Plain dosa
