slug,name,detect_class_id,status,calories_per_100g,protein_per_100g,carb_per_100g,fat_per_100g,density_g_per_ml,source_dataset,source_id,source_note,aliases,indb_serving_unit,default_serving_grams
aloo-gobi,aloo gobi,0,complete,106.18,1.90,5.99,8.13,,indb,ASC171,INDB ASC171 Potato cauliflower (Aloo gobhi),"aloo gobi,aloo gobhi,aloo gobi,potato cauliflower",bowl,175.75
aloo-fry,aloo fry,1,complete,103.15,1.62,14.38,4.18,,indb,ASC178,INDB ASC178 Dry potato (Sookhe aloo) (dry potato; closest to aloo-fry),aloo fry,bowl,105.75
dum-aloo,dum aloo,2,complete,89.56,1.52,10.42,4.47,,indb,BFP239,INDB BFP239 Potato curry (Aloo ki sabzi) (potato curry; ASC214 dum aloo row discarded as 74g fat/100g),dum aloo,bowl,201.57
fish-curry,fish curry,3,complete,111.13,8.76,3.77,6.69,,indb,ASC246,INDB ASC246 Fish curry (Machli curry),fish curry,bowl,253.97
ghevar,ghevar,4,incomplete,,,,,,,,,ghevar,,
green-chutney,green chutney,5,complete,79.42,5.42,10.01,1.60,,indb,OSR098,INDB OSR098 Green chutney,"green chutney,hari chutney,mint coriander chutney",tablespoon,24.40
gulab-jamun,gulab jamun,6,complete,586.06,2.03,26.09,53.23,,indb,ASC348,INDB ASC348 Gulab Jamun with khoya,"gulab jamun,gulab jamun",piece,156.72
idli,idli,7,complete,137.54,4.64,28.18,0.33,,indb,ASC144,INDB ASC144 Idli,"idli,idly",idli,25.06
jalebi,jalebi,8,incomplete,,,,,,,,,jalebi,,
chicken-seekh-kebab,chicken seekh kebab,9,complete,133.94,11.25,3.11,8.43,,indb,BFP199,INDB BFP199 Mutton seekh kebab (no chicken seekh row; mutton seekh used),chicken seekh kebab,piece,44.99
kheer,kheer,10,complete,75.03,2.30,10.05,2.97,,indb,ASC282,INDB ASC282 Rice kheer (Chawal ki kheer),kheer,bowl,400.00
kulfi,kulfi,11,complete,98.43,3.21,11.30,4.70,,indb,ASC321,INDB ASC321 Kulfi,kulfi,piece,270.12
bhature,bhature,12,incomplete,,,,,,,,,bhature,,
lassi,lassi,13,complete,35.66,1.29,6.51,0.68,1.00,indb,ASC021,INDB ASC021 Sweet Lassi (Meethi lassi),"lassi,sweet lassi,meethi lassi",tall glass,400.00
mutton-curry,mutton curry,14,complete,115.64,7.09,2.53,8.54,,indb,BFP194,INDB BFP194 Mutton korma,mutton curry,bowl,366.47
onion-pakoda,onion pakoda,15,complete,551.64,2.05,6.48,57.61,,indb,BFP415,INDB BFP415 Masala onion pakora/pakoda (Pyaaz ke pakode),"onion pakoda,onion pakora,pyaaz pakoda",piece,70.52
palak-paneer,palak paneer,16,complete,77.68,4.03,4.43,4.76,,indb,ASC215,INDB ASC215 Spinach paneer (Palak paneer),palak paneer,bowl,295.50
poha,poha,17,complete,294.53,6.09,35.05,14.14,,indb,BFP044,INDB BFP044 Poha,poha,plate,54.59
rajma-curry,rajma curry,18,complete,143.73,5.95,16.38,5.77,,indb,ASC165,INDB ASC165 Kidney bean curry (Rajmah curry),rajma curry,bowl,119.92
rasmalai,rasmalai,19,complete,135.55,1.61,29.17,2.11,,indb,BFP393,INDB BFP393 Rasmalai,rasmalai,piece,317.43
samosa,samosa,20,complete,443.11,2.21,13.22,42.22,,indb,BFP431,INDB BFP431 Vegetable samosa,samosa,piece,100.93
shahi-paneer,shahi paneer,21,complete,156.50,5.06,6.64,12.34,,indb,ASC221,INDB ASC221 Shahi paneer,shahi paneer,bowl,259.34
white-rice,white rice,22,complete,117.19,2.60,25.72,0.18,,indb,ASC113,INDB ASC113 Boiled rice (Uble chawal),"white rice,rice,chawal,boiled rice,steamed rice",plate,300.00
bhindi-masala,bhindi masala,23,complete,110.81,1.83,4.50,9.27,,indb,BFP269,INDB BFP269 Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),bhindi masala,bowl,166.34
chicken-biryani,chicken biryani,24,complete,108.24,6.07,11.17,8.48,,indb,BFP142,INDB BFP142 Chicken pulao (chicken pulao; no chicken biryani row),"chicken biryani,biryani,chicken pulao",plate,400.00
chai,chai,25,complete,16.14,0.39,2.58,0.53,1.00,indb,ASC001,INDB ASC001 Hot tea (Garam Chai),"chai,tea,garam chai,hot tea",tall glass,210.50
chole,chole,26,complete,163.43,6.10,19.98,6.84,,indb,ASC162,INDB ASC162 Chickpeas curry (Safed channa curry) (chickpeas curry; closest to chole),"chole,chole masala,chana masala,channa curry",bowl,119.92
coconut-chutney,coconut chutney,27,complete,265.92,3.59,8.29,25.00,,indb,ASC386,INDB ASC386 Coconut chutney (Nariyal ki chutney),"coconut chutney,nariyal chutney",tablespoon,25.33
dal-tadka,dal tadka,28,complete,63.43,3.23,6.80,2.48,,indb,BFP178,INDB BFP178 Green gram whole with baghar (Sabut moong dal with tadka),"dal tadka,dal tadka,tadka dal,moong tadka",bowl,225.72
dosa,dosa,29,complete,380.91,10.34,64.08,8.43,,indb,BFP148,INDB BFP148 Plain dosa,"dosa,dose,plain dosa",dosa,36.13
roti,Chapati/Roti,,complete,202.31,5.88,35.65,3.56,,indb,ASC096,INDB ASC096 Chapati/Roti,"chapati,chapatti,phulka,wheat roti",chapati,36.00
paratha,Plain parantha/paratha,,complete,298.30,5.06,30.69,16.86,,indb,ASC097,INDB ASC097 Plain parantha/paratha,"parantha,plain paratha,plain parantha",parantha,55.75
aloo-paratha,Potato parantha/paratha (Aloo ka parantha/paratha),,complete,205.04,3.70,23.92,10.22,,indb,ASC098,INDB ASC098 Potato parantha/paratha (Aloo ka parantha/paratha),"aloo parantha,potato paratha",parantha,93.36
mooli-paratha,Radish parantha/paratha (Mooli ka parantha/paratha),,complete,183.52,3.30,20.54,9.53,,indb,ASC099,INDB ASC099 Radish parantha/paratha (Mooli ka parantha/paratha),"radish paratha,mooli parantha",parantha,100.03
paneer-paratha,Paneer parantha/paratha,,complete,262.97,7.98,24.33,14.62,,indb,ASC105,INDB ASC105 Paneer parantha/paratha,paneer parantha,parantha,85.03
naan,Naan,,complete,286.45,8.05,51.75,4.99,,indb,ASC142,INDB ASC142 Naan,"nan,tandoori naan",naan,53.17
makki-roti,Makki ki roti,,complete,263.97,3.49,24.19,16.85,,indb,ASC150,INDB ASC150 Makki ki roti,"makki ki roti,corn roti",roti,85.00
paushtik-roti,Paushtik roti,,complete,149.26,7.17,26.59,1.51,,indb,ASC472,INDB ASC472 Paushtik roti,poshtik roti,roti,42.94
plain-pulao,Plain pulao,,complete,140.21,2.34,21.82,4.62,,indb,ASC114,INDB ASC114 Plain pulao,"pulao,veg pulao,plain pulav",plate,307.90
mixed-vegetable-pulao,Mixed vegetable pulao,,complete,113.05,2.72,17.49,3.33,,indb,ASC115,INDB ASC115 Mixed vegetable pulao,"vegetable pulao,mix veg pulao",plate,400
mutton-biryani,Mutton biryani/biriyani,,complete,190.76,7.38,22.50,7.72,,indb,ASC122,INDB ASC122 Mutton biryani/biriyani,"gosht biryani,mutton biriyani",plate,207.82
vegetable-biryani,Vegetable biryani/biriyani,,complete,174.61,3.16,18.56,9.51,,indb,ASC123,INDB ASC123 Vegetable biryani/biriyani,"veg biryani,veg biriyani",plate,301.57
lemon-rice,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",,complete,176.30,4.26,21.62,7.88,,indb,ASC124,"INDB ASC124 Lemon rice (Pulihora, Elumichai sadam, Chitranna)","chitranna,pulihora,elumichai sadam",plate,319.16
curd-rice,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),,complete,195.74,5.75,32.93,4.32,,indb,ASC126,INDB ASC126 Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),"dahi chawal,thayir sadam,daddojanam",plate,216.16
tamarind-rice,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),,complete,373.04,7.45,65.08,8.53,,indb,ASC127,INDB ASC127 Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),"puliyodharai,puli sadam",plate,127.83
moong-dal,Washed moong dal (Dhuli moong ki dal),,complete,50.00,2.68,5.91,1.68,,indb,ASC151,INDB ASC151 Washed moong dal (Dhuli moong ki dal),"dhuli moong,yellow moong dal,washed moong dal",bowl,277.00
